"ogc_fid","identifier","far_idx","cov_idx","align_idx","wall_idx","comp_idx","net_idx","age_idx","count11","k8cls","k8cls_sm3","k8cls_sm6","k8cls_sm9","wkb_geometry"
6664,"8a390ca26cc7fff",3.16238557897052,0.549875484019379,0.0260317517885127,0.120411841542755,1.60186130230989,0.0205597156040147,94.0,7.0,6,6,6,6,"MULTIPOLYGON (((442191.73788800405 4475027.183060259, 442181.12679742987 4474949.338529527, 442111.09021958587 4474921.350508708, 442051.6665803824 4474971.318479485, 442062.2798515404 4475049.273843159, 442132.3154374215 4475077.261402748, 442191.73788800405 4475027.183060259)))"
6665,"8a390ca2c837fff",0.713108331789001,0.185491082979537,0.0133750114184623,0.0438758000874447,1.15518931128496,0.00897072660918554,60.0,7.0,4,4,4,4,"MULTIPOLYGON (((449525.9243246887 4477366.908951345, 449515.39231026324 4477289.054577054, 449445.4067322629 4477261.109413726, 449386.0389654831 4477311.018512487, 449396.5723016088 4477388.872719683, 449466.5568863526 4477416.8174229115, 449525.9243246887 4477366.908951345)))"
6666,"8a390ca2dc67fff",0.307744457993529,0.165352586555929,0.00693228619427598,0.0161476776561332,0.771094886677821,0.0321516943865439,21.0,7.0,1,1,1,1,"MULTIPOLYGON (((451756.28539339954 4477226.331287917, 451745.69163942337 4477148.474551827, 451675.7982162006 4477120.508072953, 451616.41545142967 4477170.510335456, 451627.0105256924 4477248.366902968, 451696.9029555292 4477276.332923225, 451756.28539339954 4477226.331287917)))"
6667,"8a390ca2e907fff",1.10977038495258,0.215754358208799,0.0171684536035828,0.0448515316444677,1.67230319692969,0.0143987562428514,23.0,6.0,7,7,7,7,"MULTIPOLYGON (((448642.36594794405 4475245.619301701, 448631.8222585026 4475167.7663138965, 448561.81361923076 4475139.829281869, 448502.4344898085 4475189.74511568, 448513.06509012677 4475267.708353152, 448582.987908516 4475295.645507823, 448642.36594794405 4475245.619301701)))"
6668,"8a390ca2e917fff",1.29614216426286,0.205124961856238,0.0166328990337774,0.0448515316444677,1.75122889129764,0.0214943385266982,23.0,6.0,7,7,7,7,"MULTIPOLYGON (((448561.81361923076 4475139.829281869, 448551.26820614625 4475061.865411549, 448481.3431042262 4475033.928541315, 448421.87881569436 4475083.84558531, 448432.51038020826 4475161.80870499, 448502.4344898085 4475189.74511568, 448561.81361923076 4475139.829281869)))"
6669,"8a390ca2e9a7fff",0.716173815199062,0.124011470563509,0.0104163024673948,0.00109106857771775,1.13858153070828,0.0181354392718174,25.0,5.0,1,7,7,7,"MULTIPOLYGON (((448481.3431042262 4475033.928541315, 448470.7118984256 4474955.965370974, 448400.78550535097 4474928.029244711, 448341.3216512626 4474978.057916082, 448351.9534149108 4475055.909918592, 448421.87881569436 4475083.84558531, 448481.3431042262 4475033.928541315)))"
6670,"8a390ca306a7fff",0.43097510762491,0.309777913698934,0.0102087989532206,0.0545517242842986,0.607827425817329,0.0445290297619636,80.0,7.0,0,0,0,0,"MULTIPOLYGON (((441477.965778604 4469287.388138086, 441467.33984572487 4469209.434148012, 441397.33234732656 4469181.451780326, 441337.86687528726 4469231.42452575, 441348.4941303928 4469309.37834938, 441418.5006394292 4469337.360256465, 441477.965778604 4469287.388138086)))"
6671,"8a390ca3085ffff",0.833905624247081,0.174010122103506,0.00167007288843486,0.0003505601937814,2.76264019532949,0.0552279805840369,12.0,7.0,7,7,7,7,"MULTIPOLYGON (((441343.7611546936 4471224.151542031, 441333.2209067224 4471146.196858184, 441263.1458751783 4471118.216509782, 441203.69695642154 4471168.19064303, 441214.3234016519 4471246.1444968935, 441284.3974420431 4471274.124384085, 441343.7611546936 4471224.151542031)))"
6672,"8a390ca30b37fff",1.17064425864356,0.19616358738131,0.00320908974642712,0.00206945827864187,1.45092862572775,0.017436756890182,13.0,7.0,1,7,7,7,"MULTIPOLYGON (((441505.0689635285 4471435.912522657, 441494.4457620635 4471357.958269507, 441424.3733157278 4471329.976434167, 441365.0099339663 4471379.948649995, 441375.5495871627 4471457.903399736, 441445.6210422878 4471485.884773872, 441505.0689635285 4471435.912522657)))"
6673,"8a390ca30d17fff",1.78049863383017,0.441239154053236,0.022036223047813,0.0721521473900459,0.99589058317305,0.0385405045162776,61.0,7.0,3,3,3,3,"MULTIPOLYGON (((440083.1899316346 4470720.374245738, 440072.6359917235 4470642.421244404, 440002.55138749315 4470614.452585908, 439943.1065936112 4470664.436712417, 439953.74673658225 4470742.388869665, 440023.74547092896 4470770.357745167, 440083.1899316346 4470720.374245738)))"
